J       CT       CP       eta
0.098   0.0883   0.0389   0.221
0.128   0.0842   0.0385   0.280
0.153   0.0806   0.0380   0.325
0.180   0.0766   0.0374   0.368
0.206   0.0726   0.0368   0.406
0.235   0.0676   0.0360   0.441
0.264   0.0627   0.0353   0.470
0.289   0.0581   0.0345   0.487
0.320   0.0518   0.0331   0.501
0.346   0.0465   0.0320   0.502
0.368   0.0419   0.0311   0.495
0.403   0.0330   0.0294   0.453
0.428   0.0271   0.0282   0.410
0.457   0.0199   0.0267   0.340
0.481   0.0134   0.0253   0.255
0.506   0.0065   0.0237   0.138
0.530   -0.0003   0.0223   -0.006
