J       CT       CP       eta
0.409   0.0763   0.0531   0.588
0.433   0.0718   0.0522   0.596
0.456   0.0673   0.0512   0.599
0.478   0.0625   0.0498   0.599
0.505   0.0557   0.0476   0.591
0.527   0.0498   0.0453   0.580
0.549   0.0444   0.0431   0.565
0.576   0.0370   0.0397   0.536
0.602   0.0308   0.0368   0.504
0.628   0.0247   0.0338   0.458
0.648   0.0204   0.0318   0.415
0.671   0.0154   0.0294   0.351
0.698   0.0096   0.0265   0.252
0.718   0.0052   0.0243   0.154
0.749   -0.0016   0.0209   -0.056
0.767   -0.0057   0.0188   -0.231
0.796   -0.0122   0.0152   -0.643
0.821   -0.0179   0.0120   -1.226
0.847   -0.0237   0.0088   -2.271
0.870   -0.0292   0.0059   -4.342
