J       CT       CP       eta
0.145   0.1060   0.0667   0.231
0.178   0.1060   0.0662   0.286
0.218   0.1046   0.0660   0.345
0.253   0.1035   0.0664   0.395
0.291   0.1021   0.0664   0.448
0.329   0.0988   0.0668   0.486
0.365   0.0950   0.0670   0.518
0.397   0.0912   0.0672   0.540
0.433   0.0861   0.0667   0.558
0.468   0.0804   0.0660   0.570
0.503   0.0740   0.0648   0.574
0.542   0.0643   0.0617   0.565
0.579   0.0554   0.0580   0.553
0.612   0.0464   0.0543   0.524
0.649   0.0376   0.0500   0.489
0.685   0.0285   0.0450   0.433
0.721   0.0201   0.0405   0.357
