RPM    CT       CP
2454   0.0915   0.0379
2788   0.0920   0.0369
3070   0.0917   0.0364
3340   0.0926   0.0365
3633   0.0931   0.0362
3900   0.0924   0.0359
4203   0.0928   0.0359
4454   0.0929   0.0359
4743   0.0932   0.0359
5039   0.0930   0.0359
5299   0.0934   0.0360
5586   0.0933   0.0360
5895   0.0935   0.0361
6151   0.0935   0.0360
6429   0.0939   0.0362
6690   0.0937   0.0362
