J       CT       CP       eta
0.446   0.0752   0.0594   0.564
0.475   0.0699   0.0587   0.565
0.499   0.0655   0.0576   0.567
0.526   0.0599   0.0561   0.561
0.553   0.0541   0.0542   0.552
0.578   0.0484   0.0524   0.534
0.609   0.0415   0.0496   0.510
0.643   0.0333   0.0459   0.466
0.665   0.0281   0.0436   0.429
0.695   0.0203   0.0398   0.353
0.723   0.0130   0.0360   0.261
0.753   0.0053   0.0318   0.125
0.781   -0.0025   0.0277   -0.072
0.808   -0.0095   0.0239   -0.321
0.835   -0.0165   0.0199   -0.696
0.861   -0.0233   0.0159   -1.267
0.890   -0.0311   0.0111   -2.499
