J       CT       CP       eta
0.161   0.0999   0.0608   0.264
0.201   0.0981   0.0611   0.322
0.237   0.0957   0.0611   0.371
0.287   0.0916   0.0615   0.428
0.325   0.0878   0.0618   0.462
0.366   0.0825   0.0617   0.489
0.402   0.0768   0.0611   0.505
0.437   0.0705   0.0600   0.513
0.482   0.0602   0.0569   0.509
0.522   0.0508   0.0533   0.497
0.562   0.0419   0.0497   0.474
0.593   0.0353   0.0467   0.448
0.649   0.0224   0.0403   0.360
0.682   0.0149   0.0365   0.280
0.721   0.0057   0.0311   0.133
0.762   -0.0033   0.0259   -0.096
0.803   -0.0123   0.0207   -0.478
