J       CT       CP       eta
0.414   0.1078   0.0809   0.552
0.440   0.1045   0.0807   0.570
0.465   0.1013   0.0806   0.584
0.488   0.0975   0.0801   0.594
0.511   0.0941   0.0797   0.603
0.531   0.0904   0.0791   0.608
0.554   0.0869   0.0787   0.612
0.588   0.0811   0.0775   0.615
0.606   0.0776   0.0767   0.613
0.629   0.0728   0.0753   0.609
0.651   0.0678   0.0734   0.602
0.683   0.0598   0.0700   0.584
0.704   0.0542   0.0672   0.567
0.733   0.0465   0.0633   0.538
0.751   0.0415   0.0607   0.514
0.780   0.0335   0.0563   0.463
0.802   0.0274   0.0530   0.415
0.829   0.0201   0.0489   0.340
0.850   0.0144   0.0458   0.268
0.876   0.0071   0.0414   0.150
0.898   0.0013   0.0381   0.031
0.925   -0.0060   0.0338   -0.165
0.944   -0.0111   0.0309   -0.340
0.972   -0.0189   0.0263   -0.697
