J       CT       CP       eta
0.096   0.1164   0.0583   0.192
0.121   0.1156   0.0590   0.237
0.144   0.1143   0.0595   0.276
0.168   0.1132   0.0601   0.316
0.191   0.1120   0.0607   0.352
0.218   0.1103   0.0614   0.391
0.241   0.1082   0.0617   0.423
0.266   0.1057   0.0621   0.454
0.291   0.1035   0.0625   0.482
0.312   0.1007   0.0624   0.502
0.339   0.0975   0.0626   0.528
0.363   0.0944   0.0626   0.547
0.383   0.0913   0.0623   0.562
0.407   0.0881   0.0622   0.576
0.430   0.0845   0.0618   0.587
0.453   0.0808   0.0613   0.597
0.477   0.0768   0.0607   0.603
