J       CT       CP       eta
0.086   0.0938   0.0407   0.197
0.107   0.0908   0.0403   0.242
0.134   0.0870   0.0398   0.292
0.158   0.0832   0.0392   0.335
0.184   0.0789   0.0386   0.376
0.207   0.0752   0.0380   0.409
0.230   0.0713   0.0373   0.440
0.254   0.0672   0.0367   0.466
0.278   0.0625   0.0359   0.484
0.305   0.0575   0.0350   0.501
0.328   0.0527   0.0338   0.510
0.351   0.0477   0.0328   0.510
0.377   0.0414   0.0314   0.497
0.400   0.0362   0.0303   0.478
0.422   0.0309   0.0292   0.447
0.445   0.0247   0.0280   0.392
0.470   0.0179   0.0265   0.318
