RPM    CT       CP
2006   0.0790   0.0447
2282   0.0818   0.0460
2609   0.0837   0.0449
2849   0.0854   0.0447
3122   0.0873   0.0449
3401   0.0883   0.0447
3695   0.0899   0.0441
3964   0.0911   0.0440
4259   0.0919   0.0434
4532   0.0932   0.0432
4828   0.0949   0.0432
5093   0.0959   0.0428
5393   0.0976   0.0428
5651   0.0985   0.0428
5928   0.0998   0.0430
6205   0.1013   0.0431
