RPM    CT       CP
1503   0.1104   0.0579
1771   0.1124   0.0565
2033   0.1152   0.0562
2321   0.1169   0.0549
2574   0.1192   0.0550
2838   0.1198   0.0545
3097   0.1211   0.0544
3367   0.1211   0.0540
3648   0.1222   0.0541
3914   0.1229   0.0542
4181   0.1228   0.0539
4418   0.1216   0.0532
4714   0.1228   0.0537
4974   0.1230   0.0537
5242   0.1241   0.0540
5504   0.1234   0.0537
