J       CT       CP       eta
0.130   0.0966   0.0450   0.280
0.162   0.0906   0.0439   0.334
0.198   0.0837   0.0425   0.389
0.228   0.0775   0.0412   0.429
0.266   0.0697   0.0396   0.468
0.298   0.0620   0.0379   0.487
0.329   0.0552   0.0367   0.496
0.364   0.0471   0.0348   0.491
0.398   0.0388   0.0331   0.468
0.431   0.0307   0.0311   0.425
0.464   0.0219   0.0290   0.351
0.496   0.0130   0.0267   0.242
0.531   0.0033   0.0243   0.073
0.556   -0.0042   0.0222   -0.106
0.592   -0.0148   0.0195   -0.449
0.623   -0.0245   0.0170   -0.896
0.655   -0.0349   0.0140   -1.628
