J       CT       CP       eta
0.131   0.1003   0.0556   0.236
0.162   0.1004   0.0551   0.294
0.195   0.0984   0.0551   0.349
0.229   0.0960   0.0551   0.400
0.265   0.0930   0.0551   0.447
0.296   0.0902   0.0552   0.484
0.331   0.0868   0.0552   0.520
0.364   0.0834   0.0551   0.551
0.396   0.0798   0.0550   0.575
0.427   0.0755   0.0546   0.592
0.461   0.0705   0.0541   0.601
0.496   0.0641   0.0529   0.602
0.530   0.0552   0.0496   0.590
0.559   0.0472   0.0460   0.574
0.590   0.0394   0.0423   0.549
0.624   0.0320   0.0386   0.517
0.657   0.0248   0.0349   0.468
