J       CT       CP       eta
0.105   0.1125   0.0569   0.208
0.131   0.1096   0.0574   0.250
0.160   0.1069   0.0582   0.294
0.186   0.1029   0.0582   0.328
0.214   0.0986   0.0584   0.362
0.239   0.0952   0.0586   0.388
0.268   0.0902   0.0583   0.414
0.294   0.0868   0.0584   0.437
0.317   0.0830   0.0581   0.453
0.344   0.0785   0.0576   0.469
0.369   0.0742   0.0569   0.481
0.395   0.0688   0.0557   0.487
0.421   0.0634   0.0543   0.491
0.446   0.0583   0.0529   0.491
0.471   0.0529   0.0512   0.487
0.498   0.0474   0.0495   0.477
0.524   0.0423   0.0477   0.464
