J       CT       CP       eta
0.371   0.0865   0.0571   0.562
0.392   0.0842   0.0570   0.579
0.415   0.0812   0.0567   0.595
0.438   0.0785   0.0565   0.609
0.459   0.0757   0.0562   0.619
0.481   0.0725   0.0556   0.626
0.502   0.0694   0.0552   0.630
0.522   0.0661   0.0546   0.632
0.546   0.0621   0.0538   0.631
0.570   0.0577   0.0526   0.625
0.592   0.0529   0.0509   0.616
0.615   0.0474   0.0486   0.600
0.637   0.0410   0.0455   0.574
0.659   0.0350   0.0424   0.544
0.681   0.0289   0.0390   0.504
0.702   0.0234   0.0361   0.456
0.725   0.0182   0.0333   0.398
0.745   0.0137   0.0307   0.332
0.771   0.0080   0.0274   0.225
0.788   0.0039   0.0249   0.124
0.811   -0.0012   0.0219   -0.044
0.834   -0.0059   0.0191   -0.258
0.855   -0.0107   0.0163   -0.560
0.875   -0.0150   0.0136   -0.961
