RPM    CT       CP
2504   0.0737   0.0375
2750   0.0766   0.0377
3071   0.0779   0.0384
3380   0.0784   0.0374
3641   0.0815   0.0385
3888   0.0833   0.0385
4238   0.0855   0.0388
4526   0.0874   0.0389
4798   0.0889   0.0391
5085   0.0883   0.0382
5374   0.0905   0.0384
5668   0.0909   0.0381
5960   0.0906   0.0374
6233   0.0918   0.0377
6517   0.0906   0.0368
6785   0.0926   0.0372
