J       CT       CP       eta
0.086   0.1060   0.0510   0.178
0.112   0.1044   0.0515   0.227
0.132   0.1037   0.0519   0.264
0.155   0.1028   0.0528   0.301
0.179   0.1016   0.0536   0.339
0.202   0.1007   0.0544   0.374
0.225   0.0989   0.0550   0.405
0.247   0.0970   0.0555   0.432
0.270   0.0948   0.0560   0.457
0.291   0.0931   0.0565   0.479
0.310   0.0910   0.0568   0.497
0.332   0.0883   0.0568   0.516
0.355   0.0851   0.0567   0.532
0.376   0.0818   0.0564   0.545
0.399   0.0779   0.0559   0.555
0.420   0.0739   0.0552   0.562
0.445   0.0696   0.0545   0.569
