J       CT       CP       eta
0.151   0.1139   0.0612   0.282
0.189   0.1088   0.0612   0.335
0.230   0.1028   0.0613   0.385
0.268   0.0955   0.0605   0.422
0.312   0.0861   0.0586   0.459
0.356   0.0761   0.0560   0.484
0.390   0.0686   0.0535   0.500
0.439   0.0565   0.0494   0.502
0.475   0.0482   0.0461   0.496
0.517   0.0391   0.0423   0.478
0.565   0.0283   0.0376   0.426
0.593   0.0225   0.0350   0.381
0.640   0.0115   0.0299   0.245
0.678   0.0031   0.0256   0.082
0.719   -0.0059   0.0209   -0.202
0.755   -0.0140   0.0167   -0.634
0.794   -0.0229   0.0118   -1.546
