RPM    CT       CP
2085   0.0813   0.0387
2436   0.0861   0.0384
2705   0.0882   0.0380
2992   0.0895   0.0377
3256   0.0904   0.0375
3553   0.0917   0.0372
3831   0.0920   0.0371
4139   0.0922   0.0368
4401   0.0932   0.0368
4686   0.0930   0.0367
4991   0.0933   0.0366
5275   0.0936   0.0365
5568   0.0936   0.0364
5847   0.0938   0.0364
6105   0.0939   0.0364
6418   0.0935   0.0361
