J       CT       CP       eta
0.116   0.1204   0.0610   0.230
0.144   0.1178   0.0612   0.277
0.175   0.1148   0.0616   0.326
0.206   0.1109   0.0616   0.371
0.235   0.1074   0.0617   0.409
0.266   0.1035   0.0617   0.447
0.296   0.0995   0.0615   0.479
0.323   0.0960   0.0614   0.505
0.351   0.0918   0.0610   0.528
0.381   0.0879   0.0610   0.548
0.408   0.0833   0.0604   0.563
0.437   0.0780   0.0594   0.573
0.463   0.0721   0.0578   0.578
0.495   0.0628   0.0541   0.574
0.524   0.0543   0.0505   0.563
0.556   0.0448   0.0460   0.541
0.586   0.0363   0.0417   0.509
