J       CT       CP       eta
0.104   0.0689   0.0407   0.176
0.133   0.0662   0.0409   0.215
0.160   0.0631   0.0408   0.247
0.184   0.0601   0.0408   0.271
0.213   0.0549   0.0399   0.293
0.237   0.0516   0.0396   0.310
0.263   0.0484   0.0391   0.326
0.289   0.0451   0.0385   0.339
0.314   0.0419   0.0377   0.349
0.341   0.0383   0.0369   0.354
0.370   0.0344   0.0358   0.355
0.393   0.0313   0.0348   0.354
0.422   0.0277   0.0338   0.346
0.448   0.0240   0.0326   0.330
0.473   0.0205   0.0314   0.309
0.500   0.0161   0.0297   0.270
0.525   0.0116   0.0280   0.218
