RPM    CT       CP
2981   0.0897   0.0714
3260   0.0877   0.0741
3523   0.0879   0.0725
3788   0.0866   0.0713
4056   0.0881   0.0724
4334   0.0855   0.0694
4611   0.0864   0.0712
4873   0.0867   0.0712
5154   0.0868   0.0715
5426   0.0868   0.0716
5649   0.0883   0.0723
5930   0.0892   0.0737
6215   0.0905   0.0725
6466   0.0897   0.0718
6753   0.0904   0.0712
7002   0.0916   0.0723
