J       CT       CP       eta
0.453   0.0751   0.0610   0.557
0.482   0.0699   0.0601   0.559
0.507   0.0647   0.0591   0.556
0.531   0.0592   0.0574   0.548
0.558   0.0530   0.0552   0.535
0.588   0.0452   0.0521   0.511
0.617   0.0376   0.0486   0.477
0.640   0.0315   0.0456   0.442
0.666   0.0252   0.0425   0.395
0.696   0.0180   0.0388   0.322
0.719   0.0127   0.0359   0.254
0.752   0.0045   0.0312   0.109
0.774   -0.0006   0.0283   -0.018
0.807   -0.0085   0.0239   -0.286
0.825   -0.0128   0.0215   -0.491
0.860   -0.0217   0.0163   -1.143
0.884   -0.0274   0.0127   -1.910
0.912   -0.0345   0.0083   -3.774
