J       CT       CP       eta
0.127   0.0950   0.0418   0.288
0.162   0.0898   0.0413   0.353
0.198   0.0845   0.0407   0.410
0.228   0.0801   0.0402   0.455
0.264   0.0736   0.0390   0.497
0.298   0.0671   0.0378   0.529
0.329   0.0611   0.0366   0.549
0.368   0.0529   0.0349   0.558
0.394   0.0475   0.0336   0.556
0.431   0.0388   0.0316   0.530
0.465   0.0306   0.0298   0.478
0.492   0.0233   0.0280   0.409
0.526   0.0140   0.0259   0.283
0.556   0.0048   0.0238   0.112
0.589   -0.0051   0.0213   -0.142
0.624   -0.0161   0.0186   -0.543
0.655   -0.0257   0.0162   -1.043
