J       CT       CP       eta
0.423   0.0678   0.0546   0.525
0.447   0.0624   0.0530   0.527
0.476   0.0549   0.0502   0.520
0.497   0.0497   0.0482   0.512
0.529   0.0416   0.0447   0.492
0.550   0.0360   0.0425   0.466
0.577   0.0301   0.0399   0.434
0.597   0.0255   0.0379   0.403
0.624   0.0192   0.0351   0.342
0.645   0.0143   0.0327   0.282
0.680   0.0052   0.0282   0.124
0.698   0.0005   0.0258   0.014
0.727   -0.0071   0.0221   -0.233
0.755   -0.0147   0.0181   -0.611
0.780   -0.0213   0.0142   -1.169
0.805   -0.0277   0.0109   -2.048
