J       CT       CP       eta
0.096   0.1152   0.0579   0.191
0.120   0.1134   0.0582   0.234
0.146   0.1112   0.0585   0.278
0.172   0.1091   0.0589   0.319
0.199   0.1067   0.0592   0.358
0.227   0.1042   0.0598   0.395
0.253   0.1010   0.0598   0.427
0.279   0.0980   0.0599   0.456
0.305   0.0949   0.0601   0.482
0.333   0.0914   0.0600   0.507
0.356   0.0869   0.0593   0.522
0.383   0.0843   0.0596   0.541
0.409   0.0795   0.0590   0.552
0.434   0.0752   0.0585   0.559
0.459   0.0704   0.0576   0.560
0.483   0.0658   0.0567   0.561
0.507   0.0610   0.0557   0.555
