J       CT       CP       eta
0.509   0.0873   0.1094   0.406
0.544   0.0843   0.1085   0.422
0.577   0.0808   0.1085   0.430
0.603   0.0780   0.1084   0.434
0.632   0.0743   0.1085   0.433
0.663   0.0702   0.1086   0.428
0.695   0.0651   0.1086   0.416
0.728   0.0601   0.1085   0.403
0.760   0.0528   0.1078   0.372
0.789   0.0472   0.1077   0.346
0.819   0.0420   0.1071   0.321
0.850   0.0349   0.1059   0.280
0.879   0.0293   0.1043   0.247
0.907   0.0229   0.1032   0.201
0.937   0.0153   0.1013   0.142
0.972   0.0060   0.0978   0.059
0.996   -0.0000   0.0956   -0.000
1.030   -0.0102   0.0914   -0.114
1.065   -0.0213   0.0861   -0.264
1.094   -0.0307   0.0807   -0.417
1.122   -0.0400   0.0757   -0.593
1.158   -0.0514   0.0688   -0.865
1.181   -0.0599   0.0640   -1.106
1.216   -0.0704   0.0572   -1.496
