J       CT       CP       eta
0.097   0.0840   0.0377   0.217
0.121   0.0814   0.0378   0.260
0.147   0.0783   0.0380   0.304
0.174   0.0749   0.0380   0.343
0.200   0.0714   0.0378   0.377
0.228   0.0671   0.0376   0.407
0.254   0.0632   0.0373   0.430
0.281   0.0588   0.0366   0.451
0.306   0.0543   0.0357   0.465
0.328   0.0502   0.0350   0.472
0.357   0.0447   0.0336   0.475
0.385   0.0390   0.0322   0.466
0.411   0.0328   0.0304   0.444
0.431   0.0281   0.0290   0.417
0.463   0.0210   0.0265   0.367
0.483   0.0158   0.0250   0.306
0.508   0.0103   0.0230   0.227
