J       CT       CP       eta
0.094   0.1129   0.0848   0.125
0.123   0.1111   0.0839   0.163
0.149   0.1101   0.0828   0.199
0.182   0.1091   0.0811   0.244
0.205   0.1091   0.0801   0.279
0.232   0.1096   0.0785   0.324
0.258   0.1107   0.0776   0.368
0.283   0.1103   0.0777   0.402
0.316   0.1094   0.0780   0.443
0.342   0.1082   0.0784   0.471
0.372   0.1060   0.0788   0.500
0.397   0.1040   0.0791   0.523
0.425   0.1015   0.0796   0.542
0.452   0.0986   0.0799   0.558
0.480   0.0949   0.0798   0.571
0.506   0.0915   0.0798   0.580
0.534   0.0872   0.0793   0.587
