J       CT       CP       eta
0.128   0.1047   0.0527   0.255
0.160   0.1019   0.0529   0.308
0.193   0.0988   0.0531   0.359
0.227   0.0955   0.0532   0.407
0.258   0.0920   0.0534   0.445
0.291   0.0879   0.0535   0.479
0.323   0.0832   0.0534   0.504
0.351   0.0785   0.0529   0.521
0.382   0.0716   0.0514   0.532
0.416   0.0620   0.0483   0.535
0.449   0.0527   0.0447   0.530
0.481   0.0455   0.0418   0.523
0.509   0.0393   0.0393   0.510
0.544   0.0322   0.0364   0.482
0.576   0.0258   0.0339   0.440
0.608   0.0194   0.0312   0.379
0.641   0.0123   0.0281   0.282
