J       CT       CP       eta
0.104   0.0987   0.0477   0.216
0.133   0.0965   0.0483   0.266
0.156   0.0944   0.0486   0.304
0.188   0.0914   0.0490   0.351
0.215   0.0887   0.0494   0.386
0.241   0.0856   0.0495   0.416
0.267   0.0823   0.0495   0.444
0.295   0.0790   0.0495   0.470
0.318   0.0759   0.0494   0.489
0.345   0.0721   0.0492   0.506
0.372   0.0682   0.0487   0.520
0.398   0.0644   0.0482   0.531
0.424   0.0600   0.0475   0.536
0.450   0.0548   0.0461   0.536
0.477   0.0497   0.0447   0.531
0.503   0.0443   0.0430   0.518
0.530   0.0386   0.0411   0.498
