J       CT       CP       eta
0.370   0.0889   0.0595   0.552
0.389   0.0854   0.0589   0.564
0.410   0.0783   0.0572   0.561
0.436   0.0723   0.0557   0.566
0.453   0.0685   0.0546   0.568
0.475   0.0602   0.0519   0.550
0.495   0.0560   0.0507   0.547
0.514   0.0527   0.0496   0.546
0.541   0.0478   0.0479   0.541
0.560   0.0444   0.0466   0.534
0.589   0.0387   0.0442   0.515
0.607   0.0351   0.0428   0.499
0.631   0.0296   0.0403   0.463
0.651   0.0258   0.0385   0.436
0.675   0.0207   0.0360   0.388
0.693   0.0168   0.0341   0.342
0.718   0.0112   0.0312   0.258
0.737   0.0070   0.0291   0.177
0.761   0.0009   0.0257   0.026
