J       CT       CP       eta
0.406   0.0937   0.0685   0.555
0.433   0.0892   0.0680   0.567
0.455   0.0851   0.0673   0.576
0.475   0.0812   0.0664   0.581
0.497   0.0771   0.0657   0.584
0.520   0.0733   0.0649   0.587
0.543   0.0693   0.0639   0.589
0.570   0.0642   0.0626   0.585
0.598   0.0589   0.0611   0.577
0.619   0.0549   0.0597   0.568
0.641   0.0501   0.0580   0.554
0.671   0.0443   0.0559   0.532
0.692   0.0395   0.0538   0.507
0.714   0.0346   0.0521   0.474
0.741   0.0286   0.0494   0.430
0.762   0.0231   0.0470   0.375
0.783   0.0181   0.0450   0.315
0.814   0.0100   0.0422   0.193
0.833   0.0045   0.0400   0.094
0.854   -0.0017   0.0375   -0.039
0.883   -0.0103   0.0345   -0.264
0.902   -0.0160   0.0325   -0.444
0.925   -0.0227   0.0301   -0.699
0.949   -0.0292   0.0278   -0.995
