J       CT       CP       eta
0.151   0.1122   0.0606   0.279
0.189   0.1082   0.0612   0.334
0.230   0.1035   0.0618   0.386
0.272   0.0981   0.0620   0.430
0.312   0.0925   0.0621   0.465
0.353   0.0863   0.0619   0.492
0.397   0.0791   0.0611   0.514
0.434   0.0722   0.0597   0.525
0.470   0.0648   0.0577   0.527
0.519   0.0541   0.0543   0.517
0.553   0.0467   0.0517   0.499
0.598   0.0353   0.0468   0.451
0.630   0.0285   0.0438   0.410
0.670   0.0183   0.0385   0.318
0.713   0.0075   0.0328   0.164
0.755   -0.0035   0.0265   -0.101
0.790   -0.0136   0.0209   -0.516
