J       CT       CP       eta
0.159   0.1395   0.0796   0.278
0.212   0.1345   0.0811   0.351
0.249   0.1254   0.0791   0.394
0.294   0.1248   0.0823   0.445
0.339   0.1188   0.0827   0.486
0.384   0.1119   0.0824   0.521
0.431   0.1042   0.0815   0.551
0.466   0.0943   0.0782   0.562
0.510   0.0877   0.0769   0.582
0.564   0.0755   0.0722   0.590
0.601   0.0665   0.0687   0.582
0.645   0.0529   0.0610   0.559
0.697   0.0414   0.0553   0.521
0.741   0.0305   0.0494   0.458
0.786   0.0184   0.0418   0.346
0.827   0.0082   0.0358   0.190
0.874   -0.0034   0.0287   -0.105
