J       CT       CP       eta
0.085   0.0989   0.0429   0.196
0.109   0.0972   0.0433   0.244
0.132   0.0951   0.0435   0.288
0.155   0.0930   0.0436   0.331
0.177   0.0906   0.0438   0.366
0.199   0.0884   0.0439   0.400
0.222   0.0857   0.0440   0.433
0.245   0.0828   0.0440   0.461
0.267   0.0801   0.0440   0.486
0.286   0.0774   0.0437   0.507
0.311   0.0738   0.0436   0.527
0.333   0.0706   0.0433   0.544
0.351   0.0678   0.0429   0.555
0.377   0.0636   0.0422   0.567
0.394   0.0607   0.0417   0.574
0.414   0.0571   0.0409   0.578
0.437   0.0532   0.0400   0.581
