J       CT       CP       eta
0.167   0.0460   0.0265   0.290
0.211   0.0401   0.0253   0.335
0.258   0.0335   0.0238   0.363
0.302   0.0267   0.0221   0.365
0.340   0.0207   0.0205   0.342
0.400   0.0102   0.0179   0.228
0.434   0.0044   0.0161   0.117
0.486   -0.0058   0.0129   -0.220
0.531   -0.0153   0.0098   -0.831
0.576   -0.0250   0.0065   -2.218
