RPM    CT       CP
1989   0.1007   0.0743
2254   0.1001   0.0748
2524   0.1006   0.0758
2754   0.1012   0.0767
2987   0.1017   0.0774
3238   0.1024   0.0782
3501   0.1029   0.0789
3735   0.1032   0.0797
3963   0.1036   0.0800
4191   0.1037   0.0804
4478   0.1034   0.0799
4714   0.1049   0.0815
4981   0.1054   0.0817
5207   0.1049   0.0814
5453   0.1056   0.0819
5711   0.1058   0.0818
