J       CT       CP       eta
0.171   0.1302   0.0808   0.276
0.218   0.1239   0.0800   0.338
0.262   0.1179   0.0794   0.389
0.310   0.1102   0.0783   0.436
0.353   0.1020   0.0763   0.472
0.403   0.0926   0.0743   0.502
0.453   0.0820   0.0713   0.521
0.493   0.0732   0.0685   0.527
0.546   0.0630   0.0656   0.525
0.586   0.0544   0.0626   0.510
0.636   0.0430   0.0583   0.469
0.676   0.0347   0.0553   0.424
0.726   0.0221   0.0501   0.320
0.771   0.0105   0.0450   0.180
0.816   -0.0017   0.0399   -0.034
0.863   -0.0151   0.0340   -0.384
0.910   -0.0309   0.0267   -1.053
