J       CT       CP       eta
0.373   0.0874   0.0580   0.563
0.396   0.0841   0.0578   0.577
0.418   0.0809   0.0574   0.589
0.438   0.0773   0.0568   0.597
0.463   0.0728   0.0558   0.603
0.479   0.0694   0.0550   0.605
0.501   0.0648   0.0536   0.606
0.527   0.0588   0.0515   0.601
0.549   0.0536   0.0496   0.594
0.568   0.0490   0.0477   0.584
0.595   0.0424   0.0447   0.563
0.611   0.0388   0.0432   0.548
0.639   0.0319   0.0399   0.511
0.656   0.0280   0.0380   0.483
0.681   0.0223   0.0352   0.432
0.704   0.0175   0.0328   0.375
0.724   0.0130   0.0307   0.308
0.745   0.0083   0.0281   0.220
0.767   0.0035   0.0255   0.104
0.790   -0.0018   0.0224   -0.065
0.811   -0.0065   0.0195   -0.270
0.833   -0.0114   0.0166   -0.571
0.853   -0.0158   0.0137   -0.986
0.877   -0.0213   0.0102   -1.826
