J       CT       CP       eta
0.138   0.1300   0.0687   0.261
0.175   0.1247   0.0679   0.321
0.210   0.1195   0.0681   0.368
0.249   0.1131   0.0674   0.417
0.285   0.1057   0.0657   0.459
0.329   0.0949   0.0625   0.499
0.360   0.0872   0.0603   0.521
0.395   0.0790   0.0575   0.543
0.439   0.0699   0.0549   0.558
0.467   0.0632   0.0531   0.555
0.511   0.0534   0.0498   0.549
0.541   0.0463   0.0471   0.532
0.584   0.0349   0.0432   0.472
0.619   0.0252   0.0396   0.394
0.650   0.0157   0.0362   0.281
0.691   0.0039   0.0327   0.083
0.728   -0.0064   0.0289   -0.160
