J       CT       CP       eta
0.459   0.0870   0.0881   0.453
0.489   0.0847   0.0884   0.468
0.515   0.0822   0.0886   0.478
0.542   0.0778   0.0883   0.477
0.570   0.0734   0.0878   0.476
0.600   0.0685   0.0873   0.471
0.623   0.0648   0.0866   0.467
0.655   0.0597   0.0854   0.458
0.681   0.0547   0.0840   0.443
0.706   0.0485   0.0820   0.418
0.732   0.0428   0.0798   0.393
0.763   0.0353   0.0767   0.352
0.794   0.0278   0.0733   0.302
0.821   0.0214   0.0702   0.251
0.845   0.0154   0.0672   0.194
0.877   0.0061   0.0626   0.086
0.901   -0.0003   0.0592   -0.004
0.933   -0.0086   0.0546   -0.146
0.956   -0.0148   0.0515   -0.275
0.987   -0.0230   0.0469   -0.484
1.010   -0.0286   0.0439   -0.658
1.042   -0.0371   0.0393   -0.983
1.065   -0.0433   0.0362   -1.275
1.094   -0.0517   0.0316   -1.788
