J       CT       CP       eta
0.156   0.0920   0.0674   0.213
0.197   0.0879   0.0669   0.258
0.236   0.0841   0.0667   0.298
0.276   0.0799   0.0661   0.334
0.320   0.0750   0.0653   0.368
0.355   0.0710   0.0645   0.391
0.394   0.0660   0.0636   0.409
0.432   0.0604   0.0625   0.418
0.477   0.0537   0.0609   0.420
0.519   0.0475   0.0595   0.415
0.552   0.0414   0.0571   0.400
0.595   0.0335   0.0542   0.368
0.627   0.0278   0.0522   0.334
0.675   0.0184   0.0486   0.255
0.707   0.0115   0.0459   0.177
0.752   0.0002   0.0418   0.004
0.792   -0.0102   0.0383   -0.211
