J       CT       CP       eta
0.372   0.0525   0.0358   0.545
0.392   0.0482   0.0345   0.548
0.415   0.0434   0.0330   0.547
0.435   0.0389   0.0314   0.539
0.463   0.0331   0.0294   0.521
0.479   0.0297   0.0282   0.505
0.502   0.0250   0.0265   0.475
0.523   0.0212   0.0251   0.442
0.546   0.0164   0.0231   0.389
0.568   0.0118   0.0211   0.317
0.594   0.0063   0.0187   0.201
0.613   0.0022   0.0167   0.083
0.637   -0.0028   0.0143   -0.127
0.658   -0.0074   0.0120   -0.405
0.682   -0.0126   0.0093   -0.927
0.703   -0.0174   0.0068   -1.812
