J       CT       CP       eta
0.145   0.1003   0.0528   0.275
0.181   0.0981   0.0527   0.336
0.214   0.0954   0.0527   0.388
0.250   0.0916   0.0530   0.433
0.292   0.0862   0.0530   0.475
0.326   0.0808   0.0526   0.501
0.359   0.0747   0.0517   0.519
0.399   0.0663   0.0499   0.531
0.437   0.0568   0.0468   0.530
0.469   0.0499   0.0445   0.526
0.505   0.0406   0.0407   0.505
0.541   0.0327   0.0374   0.473
0.577   0.0247   0.0337   0.423
0.619   0.0153   0.0290   0.328
0.651   0.0084   0.0254   0.216
0.684   0.0010   0.0217   0.033
0.722   -0.0078   0.0171   -0.328
