J       CT       CP       eta
0.102   0.1096   0.0532   0.210
0.130   0.1091   0.0542   0.261
0.156   0.1076   0.0551   0.305
0.183   0.1064   0.0562   0.346
0.210   0.1051   0.0573   0.385
0.237   0.1027   0.0581   0.419
0.263   0.1001   0.0585   0.449
0.289   0.0952   0.0580   0.474
0.317   0.0896   0.0574   0.495
0.343   0.0870   0.0575   0.518
0.367   0.0791   0.0558   0.521
0.393   0.0732   0.0544   0.528
0.416   0.0673   0.0530   0.529
0.441   0.0612   0.0516   0.523
0.465   0.0563   0.0501   0.522
0.490   0.0517   0.0486   0.521
0.514   0.0480   0.0475   0.520
