J       CT       CP       eta
0.092   0.0966   0.0468   0.190
0.115   0.0952   0.0471   0.233
0.139   0.0934   0.0475   0.274
0.163   0.0911   0.0478   0.310
0.185   0.0892   0.0481   0.343
0.208   0.0856   0.0480   0.371
0.232   0.0831   0.0483   0.398
0.254   0.0799   0.0481   0.423
0.279   0.0766   0.0480   0.446
0.303   0.0732   0.0477   0.465
0.322   0.0700   0.0472   0.477
0.345   0.0668   0.0471   0.490
0.368   0.0630   0.0463   0.501
0.390   0.0596   0.0457   0.509
0.412   0.0557   0.0448   0.513
0.434   0.0515   0.0436   0.513
0.461   0.0471   0.0425   0.511
