J       CT       CP       eta
0.428   0.0761   0.0586   0.555
0.453   0.0715   0.0580   0.560
0.478   0.0666   0.0569   0.559
0.513   0.0603   0.0554   0.558
0.536   0.0554   0.0540   0.550
0.558   0.0509   0.0526   0.540
0.587   0.0439   0.0503   0.512
0.614   0.0375   0.0477   0.482
0.636   0.0314   0.0452   0.442
0.665   0.0230   0.0414   0.370
0.689   0.0164   0.0380   0.298
0.719   0.0080   0.0339   0.170
0.739   0.0023   0.0312   0.054
0.769   -0.0062   0.0266   -0.179
0.791   -0.0117   0.0236   -0.393
0.819   -0.0201   0.0192   -0.857
0.847   -0.0269   0.0154   -1.480
0.874   -0.0344   0.0115   -2.619
