J       CT       CP       eta
0.144   0.1168   0.0612   0.274
0.180   0.1140   0.0621   0.331
0.217   0.1102   0.0627   0.383
0.250   0.1069   0.0632   0.423
0.292   0.1018   0.0635   0.468
0.327   0.0970   0.0636   0.499
0.362   0.0921   0.0635   0.525
0.395   0.0866   0.0630   0.544
0.430   0.0808   0.0620   0.559
0.464   0.0746   0.0609   0.569
0.494   0.0679   0.0588   0.571
0.536   0.0599   0.0566   0.567
0.573   0.0508   0.0528   0.551
0.603   0.0442   0.0500   0.534
0.644   0.0345   0.0453   0.490
0.678   0.0259   0.0408   0.430
0.714   0.0166   0.0357   0.332
