J       CT       CP       eta
0.100   0.1207   0.0596   0.202
0.125   0.1188   0.0602   0.246
0.157   0.1159   0.0608   0.300
0.180   0.1136   0.0611   0.334
0.205   0.1106   0.0613   0.369
0.230   0.1074   0.0616   0.401
0.260   0.1034   0.0617   0.436
0.287   0.0990   0.0615   0.461
0.313   0.0942   0.0609   0.485
0.340   0.0889   0.0600   0.503
0.366   0.0831   0.0587   0.517
0.394   0.0763   0.0569   0.529
0.422   0.0694   0.0547   0.534
0.440   0.0649   0.0532   0.536
0.471   0.0563   0.0502   0.528
0.497   0.0502   0.0478   0.522
0.531   0.0416   0.0441   0.501
