J       CT       CP       eta
0.183   0.1022   0.0864   0.216
0.227   0.0985   0.0836   0.267
0.278   0.0957   0.0816   0.327
0.329   0.0917   0.0794   0.381
0.379   0.0891   0.0787   0.428
0.424   0.0846   0.0779   0.461
0.471   0.0787   0.0766   0.484
0.531   0.0699   0.0742   0.501
0.575   0.0624   0.0716   0.500
0.629   0.0516   0.0672   0.483
0.670   0.0438   0.0636   0.461
0.727   0.0311   0.0567   0.398
0.761   0.0237   0.0526   0.343
0.813   0.0119   0.0452   0.214
0.869   0.0005   0.0380   0.011
0.913   -0.0107   0.0311   -0.313
0.971   -0.0235   0.0228   -0.998
