J       CT       CP       eta
0.175   0.1020   0.0652   0.274
0.217   0.1000   0.0658   0.329
0.266   0.0959   0.0659   0.387
0.311   0.0928   0.0661   0.436
0.354   0.0892   0.0661   0.477
0.398   0.0849   0.0661   0.511
0.437   0.0802   0.0658   0.533
0.479   0.0747   0.0649   0.551
0.526   0.0680   0.0634   0.564
0.574   0.0598   0.0609   0.564
0.613   0.0534   0.0588   0.556
0.663   0.0442   0.0547   0.535
0.697   0.0380   0.0521   0.508
0.744   0.0279   0.0465   0.447
0.791   0.0179   0.0407   0.348
0.817   0.0127   0.0378   0.275
0.876   -0.0005   0.0293   -0.015
