J       CT       CP       eta
0.369   0.0592   0.0379   0.576
0.394   0.0532   0.0363   0.579
0.413   0.0489   0.0351   0.576
0.437   0.0433   0.0336   0.563
0.458   0.0377   0.0322   0.537
0.480   0.0318   0.0307   0.498
0.501   0.0262   0.0293   0.447
0.529   0.0178   0.0273   0.344
0.546   0.0124   0.0260   0.259
0.572   0.0047   0.0241   0.111
0.590   -0.0011   0.0227   -0.028
0.616   -0.0094   0.0205   -0.282
0.638   -0.0166   0.0186   -0.569
0.658   -0.0235   0.0168   -0.921
0.681   -0.0309   0.0149   -1.410
0.702   -0.0382   0.0130   -2.065
0.725   -0.0458   0.0109   -3.047
0.746   -0.0531   0.0089   -4.467
