J       CT       CP       eta
0.193   0.1211   0.0681   0.343
0.237   0.1130   0.0662   0.404
0.282   0.1052   0.0646   0.460
0.335   0.0961   0.0629   0.512
0.383   0.0875   0.0610   0.550
0.433   0.0780   0.0586   0.577
0.487   0.0669   0.0553   0.589
0.528   0.0584   0.0526   0.587
0.574   0.0488   0.0492   0.569
0.629   0.0358   0.0444   0.507
0.660   0.0281   0.0417   0.446
0.718   0.0127   0.0355   0.256
0.774   -0.0040   0.0283   -0.109
0.800   -0.0114   0.0252   -0.363
0.863   -0.0307   0.0167   -1.590
0.912   -0.0461   0.0098   -4.273
