J       CT       CP       eta
0.093   0.0834   0.0513   0.150
0.117   0.0806   0.0514   0.183
0.137   0.0778   0.0515   0.207
0.163   0.0739   0.0516   0.233
0.189   0.0706   0.0515   0.259
0.213   0.0677   0.0511   0.282
0.240   0.0640   0.0507   0.303
0.264   0.0605   0.0501   0.318
0.289   0.0566   0.0494   0.332
0.313   0.0529   0.0487   0.340
0.336   0.0488   0.0474   0.346
0.363   0.0451   0.0467   0.351
0.388   0.0413   0.0456   0.351
0.411   0.0376   0.0445   0.347
0.434   0.0338   0.0433   0.339
0.458   0.0293   0.0421   0.319
0.480   0.0258   0.0410   0.301
