J       CT       CP       eta
0.138   0.0806   0.0408   0.273
0.172   0.0749   0.0403   0.318
0.212   0.0663   0.0388   0.361
0.246   0.0591   0.0371   0.391
0.283   0.0522   0.0353   0.419
0.325   0.0458   0.0338   0.440
0.364   0.0397   0.0323   0.447
0.397   0.0342   0.0309   0.440
0.435   0.0275   0.0288   0.415
0.468   0.0220   0.0271   0.379
0.509   0.0140   0.0244   0.293
0.540   0.0075   0.0218   0.186
0.577   -0.0004   0.0189   -0.011
0.617   -0.0087   0.0157   -0.341
0.650   -0.0166   0.0126   -0.856
0.688   -0.0251   0.0092   -1.874
0.722   -0.0335   0.0059   -4.135
