J       CT       CP       eta
0.413   0.1041   0.0814   0.527
0.440   0.0995   0.0809   0.541
0.464   0.0954   0.0802   0.551
0.484   0.0916   0.0795   0.558
0.507   0.0875   0.0786   0.564
0.530   0.0828   0.0774   0.567
0.553   0.0781   0.0761   0.568
0.581   0.0722   0.0741   0.566
0.603   0.0671   0.0723   0.560
0.630   0.0605   0.0694   0.548
0.653   0.0555   0.0675   0.537
0.680   0.0475   0.0635   0.509
0.703   0.0420   0.0609   0.485
0.728   0.0352   0.0572   0.447
0.749   0.0292   0.0539   0.406
0.770   0.0234   0.0505   0.356
0.799   0.0150   0.0456   0.263
0.820   0.0091   0.0419   0.177
0.849   0.0003   0.0365   0.008
0.863   -0.0037   0.0339   -0.094
0.892   -0.0125   0.0284   -0.392
0.919   -0.0209   0.0227   -0.846
0.946   -0.0286   0.0176   -1.532
