J       CT       CP       eta
0.095   0.1066   0.0502   0.202
0.118   0.1053   0.0509   0.244
0.142   0.1036   0.0517   0.285
0.164   0.1017   0.0523   0.320
0.188   0.0994   0.0529   0.353
0.214   0.0963   0.0535   0.386
0.237   0.0931   0.0536   0.412
0.259   0.0896   0.0536   0.433
0.282   0.0853   0.0534   0.451
0.305   0.0809   0.0531   0.465
0.329   0.0760   0.0524   0.477
0.351   0.0715   0.0516   0.486
0.375   0.0668   0.0507   0.494
0.401   0.0613   0.0493   0.499
0.429   0.0560   0.0479   0.501
0.450   0.0517   0.0467   0.499
0.473   0.0473   0.0454   0.493
