J       CT       CP       eta
0.440   0.0768   0.0636   0.532
0.467   0.0728   0.0626   0.542
0.494   0.0687   0.0618   0.549
0.518   0.0645   0.0605   0.552
0.542   0.0606   0.0594   0.553
0.572   0.0552   0.0575   0.549
0.595   0.0512   0.0562   0.541
0.628   0.0449   0.0539   0.523
0.652   0.0400   0.0519   0.503
0.672   0.0361   0.0505   0.481
0.701   0.0294   0.0477   0.431
0.723   0.0243   0.0459   0.383
0.759   0.0140   0.0422   0.252
0.778   0.0088   0.0404   0.169
0.809   -0.0002   0.0368   -0.005
0.829   -0.0043   0.0354   -0.101
0.860   -0.0126   0.0322   -0.336
0.888   -0.0196   0.0296   -0.588
0.912   -0.0255   0.0274   -0.850
0.940   -0.0324   0.0247   -1.232
0.966   -0.0386   0.0223   -1.672
0.990   -0.0445   0.0200   -2.201
1.017   -0.0510   0.0174   -2.981
