RPM    CT       CP
2518   0.1103   0.0613
2744   0.1115   0.0599
3024   0.1134   0.0590
3275   0.1183   0.0597
3517   0.1211   0.0605
3796   0.1217   0.0595
4034   0.1164   0.0567
4325   0.1206   0.0583
4577   0.1221   0.0589
4859   0.1201   0.0579
5121   0.1198   0.0580
5371   0.1196   0.0575
5626   0.1206   0.0580
5890   0.1181   0.0566
6143   0.1184   0.0570
6383   0.1183   0.0570
