J       CT       CP       eta
0.388   0.0591   0.0454   0.505
0.413   0.0550   0.0445   0.511
0.434   0.0510   0.0433   0.511
0.459   0.0468   0.0421   0.509
0.483   0.0422   0.0408   0.499
0.503   0.0383   0.0396   0.487
0.529   0.0323   0.0374   0.458
0.556   0.0274   0.0356   0.428
0.572   0.0238   0.0343   0.397
0.604   0.0168   0.0314   0.323
0.625   0.0119   0.0292   0.255
0.645   0.0074   0.0271   0.175
0.673   0.0005   0.0238   0.013
0.692   -0.0040   0.0215   -0.128
0.717   -0.0099   0.0186   -0.381
0.737   -0.0145   0.0163   -0.658
0.765   -0.0214   0.0127   -1.292
0.781   -0.0254   0.0107   -1.856
0.807   -0.0320   0.0071   -3.618
