J       CT       CP       eta
0.109   0.0921   0.0439   0.229
0.131   0.0907   0.0440   0.270
0.158   0.0886   0.0443   0.316
0.189   0.0860   0.0446   0.364
0.212   0.0837   0.0448   0.397
0.241   0.0809   0.0451   0.433
0.268   0.0779   0.0451   0.462
0.292   0.0749   0.0452   0.483
0.318   0.0712   0.0450   0.503
0.345   0.0665   0.0444   0.517
0.370   0.0613   0.0433   0.524
0.397   0.0552   0.0417   0.526
0.424   0.0489   0.0398   0.520
0.452   0.0417   0.0373   0.505
0.477   0.0359   0.0350   0.489
0.507   0.0288   0.0320   0.455
0.531   0.0234   0.0297   0.419
