J       CT       CP       eta
0.121   0.1158   0.0807   0.174
0.150   0.1146   0.0797   0.216
0.184   0.1146   0.0787   0.267
0.216   0.1153   0.0761   0.327
0.247   0.1140   0.0754   0.373
0.281   0.1110   0.0753   0.415
0.318   0.1076   0.0752   0.455
0.348   0.1042   0.0749   0.484
0.380   0.1006   0.0747   0.512
0.413   0.0967   0.0745   0.536
0.443   0.0926   0.0742   0.553
0.477   0.0880   0.0740   0.567
0.504   0.0837   0.0737   0.572
0.546   0.0754   0.0725   0.568
0.575   0.0678   0.0701   0.556
0.612   0.0564   0.0653   0.529
0.637   0.0493   0.0620   0.507
