J       CT       CP       eta
0.151   0.1035   0.0649   0.240
0.192   0.1030   0.0652   0.304
0.231   0.1013   0.0657   0.356
0.276   0.0987   0.0670   0.407
0.315   0.0958   0.0681   0.443
0.361   0.0906   0.0681   0.480
0.398   0.0860   0.0683   0.501
0.441   0.0795   0.0677   0.518
0.482   0.0734   0.0674   0.524
0.518   0.0664   0.0657   0.523
0.558   0.0568   0.0634   0.501
0.597   0.0495   0.0610   0.485
0.642   0.0389   0.0566   0.441
0.674   0.0330   0.0540   0.412
0.722   0.0213   0.0479   0.320
0.765   0.0104   0.0418   0.190
0.802   0.0014   0.0365   0.031
